Дата;Чисельність населення 
01.08.2017 0:00;2926930
02.08.2017 0:00;2928087
03.08.2017 0:00;2928087
04.08.2017 0:00;2928087
05.08.2017 0:00;2928087
06.08.2017 0:00;2928087
07.08.2017 0:00;2928087
08.08.2017 0:00;2928087
09.08.2017 0:00;2928087
10.08.2017 0:00;2928087
11.08.2017 0:00;2928087
12.08.2017 0:00;2928087
13.08.2017 0:00;2928087
14.08.2017 0:00;2928087
15.08.2017 0:00;2928087
16.08.2017 0:00;2928087
17.08.2017 0:00;2928087
18.08.2017 0:00;2928087
19.08.2017 0:00;2928087
20.08.2017 0:00;2928087
21.08.2017 0:00;2928087
22.08.2017 0:00;2928087
23.08.2017 0:00;2928087
24.08.2017 0:00;2928087
25.08.2017 0:00;2928087
26.08.2017 0:00;2928087
27.08.2017 0:00;2928087
28.08.2017 0:00;2928087
29.08.2017 0:00;2928087
30.08.2017 0:00;2928087
31.08.2017 0:00;2928087
01.09.2017 0:00;2928087
02.09.2017 0:00;2931347
03.09.2017 0:00;2931347
04.09.2017 0:00;2931347
05.09.2017 0:00;2931347
06.09.2017 0:00;2931347
07.09.2017 0:00;2931347
08.09.2017 0:00;2931347
09.09.2017 0:00;2931347
10.09.2017 0:00;2931347
11.09.2017 0:00;2931347
12.09.2017 0:00;2931347
13.09.2017 0:00;2931347
14.09.2017 0:00;2931347
15.09.2017 0:00;2931347
16.09.2017 0:00;2931347
17.09.2017 0:00;2931347
18.09.2017 0:00;2931347
19.09.2017 0:00;2931347
20.09.2017 0:00;2931347
21.09.2017 0:00;2931347
22.09.2017 0:00;2931347
23.09.2017 0:00;2931347
24.09.2017 0:00;2931347
25.09.2017 0:00;2931347
26.09.2017 0:00;2931347
27.09.2017 0:00;2931347
28.09.2017 0:00;2931347
29.09.2017 0:00;2931347
30.09.2017 0:00;2931347
01.10.2017 0:00;2931347
02.10.2017 0:00;2932525
03.10.2017 0:00;2932525
04.10.2017 0:00;2932525
05.10.2017 0:00;2932525
06.10.2017 0:00;2932525
07.10.2017 0:00;2932525
08.10.2017 0:00;2932525
09.10.2017 0:00;2932525
10.10.2017 0:00;2932525
11.10.2017 0:00;2932525
12.10.2017 0:00;2932525
13.10.2017 0:00;2932525
14.10.2017 0:00;2932525
15.10.2017 0:00;2932525
16.10.2017 0:00;2932525
17.10.2017 0:00;2932525
18.10.2017 0:00;2932525
19.10.2017 0:00;2932525
20.10.2017 0:00;2932525
21.10.2017 0:00;2932525
22.10.2017 0:00;2932525
23.10.2017 0:00;2932525
24.10.2017 0:00;2932525
25.10.2017 0:00;2932525
26.10.2017 0:00;2932525
27.10.2017 0:00;2932525
28.10.2017 0:00;2932525
29.10.2017 0:00;2932525
30.10.2017 0:00;2932525
31.10.2017 0:00;2932525
01.11.2017 0:00;2932525
02.11.2017 0:00;2933537
03.11.2017 0:00;2933537
04.11.2017 0:00;2933537
05.11.2017 0:00;2933537
06.11.2017 0:00;2933537
07.11.2017 0:00;2933537
08.11.2017 0:00;2933537
09.11.2017 0:00;2933537
10.11.2017 0:00;2933537
11.11.2017 0:00;2933537
12.11.2017 0:00;2933537
13.11.2017 0:00;2933537
14.11.2017 0:00;2933537
15.11.2017 0:00;2933537
16.11.2017 0:00;2933537
17.11.2017 0:00;2933537
18.11.2017 0:00;2933537
19.11.2017 0:00;2933537
20.11.2017 0:00;2933537
21.11.2017 0:00;2933537
22.11.2017 0:00;2933537
23.11.2017 0:00;2933537
24.11.2017 0:00;2933537
25.11.2017 0:00;2933537
26.11.2017 0:00;2933537
27.11.2017 0:00;2933537
28.11.2017 0:00;2933537
29.11.2017 0:00;2933537
30.11.2017 0:00;2933537
01.12.2017 0:00;2933537
02.12.2017 0:00;2934522
03.12.2017 0:00;2934522
04.12.2017 0:00;2934522
05.12.2017 0:00;2934522
06.12.2017 0:00;2934522
07.12.2017 0:00;2934522
08.12.2017 0:00;2934522
09.12.2017 0:00;2934522
10.12.2017 0:00;2934522
11.12.2017 0:00;2934522
12.12.2017 0:00;2934522
13.12.2017 0:00;2934522
14.12.2017 0:00;2934522
15.12.2017 0:00;2934522
16.12.2017 0:00;2934522
17.12.2017 0:00;2934522
18.12.2017 0:00;2934522
19.12.2017 0:00;2934522
20.12.2017 0:00;2934522
21.12.2017 0:00;2934522
22.12.2017 0:00;2934522
23.12.2017 0:00;2934522
24.12.2017 0:00;2934522
25.12.2017 0:00;2934522
26.12.2017 0:00;2934522
27.12.2017 0:00;2934522
28.12.2017 0:00;2934522
29.12.2017 0:00;2934522
30.12.2017 0:00;2934522
31.12.2017 0:00;2934522
01.01.2018 0:00;2934522
02.01.2018 0:00;2934401
03.01.2018 0:00;2934401
04.01.2018 0:00;2934401
05.01.2018 0:00;2934401
06.01.2018 0:00;2934401
07.01.2018 0:00;2934401
08.01.2018 0:00;2934401
09.01.2018 0:00;2934401
10.01.2018 0:00;2934401
11.01.2018 0:00;2934401
12.01.2018 0:00;2934401
13.01.2018 0:00;2934401
14.01.2018 0:00;2934401
15.01.2018 0:00;2934401
16.01.2018 0:00;2934401
17.01.2018 0:00;2934401
18.01.2018 0:00;2934401
19.01.2018 0:00;2934401
20.01.2018 0:00;2934401
21.01.2018 0:00;2934401
22.01.2018 0:00;2934401
23.01.2018 0:00;2934401
24.01.2018 0:00;2934401
25.01.2018 0:00;2934401
26.01.2018 0:00;2934401
27.01.2018 0:00;2934401
28.01.2018 0:00;2934401
29.01.2018 0:00;2934401
30.01.2018 0:00;2934401
31.01.2018 0:00;2934401
01.02.2018 0:00;2934401
02.02.2018 0:00;2935239
03.02.2018 0:00;2935239
04.02.2018 0:00;2935239
05.02.2018 0:00;2935239
06.02.2018 0:00;2935239
07.02.2018 0:00;2935239
08.02.2018 0:00;2935239
09.02.2018 0:00;2935239
10.02.2018 0:00;2935239
11.02.2018 0:00;2935239
12.02.2018 0:00;2935239
13.02.2018 0:00;2935239
14.02.2018 0:00;2935239
15.02.2018 0:00;2935239
16.02.2018 0:00;2935239
17.02.2018 0:00;2935239
18.02.2018 0:00;2935239
19.02.2018 0:00;2935239
20.02.2018 0:00;2935239
21.02.2018 0:00;2935239
22.02.2018 0:00;2935239
23.02.2018 0:00;2935239
24.02.2018 0:00;2935239
25.02.2018 0:00;2935239
26.02.2018 0:00;2935239
27.02.2018 0:00;2935239
28.02.2018 0:00;2935239
01.03.2018 0:00;2935239
02.03.2018 0:00;2935996
03.03.2018 0:00;2935996
04.03.2018 0:00;2935996
05.03.2018 0:00;2935996
06.03.2018 0:00;2935996
07.03.2018 0:00;2935996
08.03.2018 0:00;2935996
09.03.2018 0:00;2935996
10.03.2018 0:00;2935996
11.03.2018 0:00;2935996
12.03.2018 0:00;2935996
13.03.2018 0:00;2935996
14.03.2018 0:00;2935996
15.03.2018 0:00;2935996
16.03.2018 0:00;2935996
17.03.2018 0:00;2935996
18.03.2018 0:00;2935996
19.03.2018 0:00;2935996
20.03.2018 0:00;2935996
21.03.2018 0:00;2935996
22.03.2018 0:00;2935996
23.03.2018 0:00;2935996
24.03.2018 0:00;2935996
25.03.2018 0:00;2935996
26.03.2018 0:00;2935996
27.03.2018 0:00;2935996
28.03.2018 0:00;2935996
29.03.2018 0:00;2935996
30.03.2018 0:00;2935996
31.03.2018 0:00;2935996
01.04.2018 0:00;2935996
02.04.2018 0:00;2936628
03.04.2018 0:00;2936628
04.04.2018 0:00;2936628
05.04.2018 0:00;2936628
06.04.2018 0:00;2936628
07.04.2018 0:00;2936628
08.04.2018 0:00;2936628
09.04.2018 0:00;2936628
10.04.2018 0:00;2936628
11.04.2018 0:00;2936628
12.04.2018 0:00;2936628
13.04.2018 0:00;2936628
14.04.2018 0:00;2936628
15.04.2018 0:00;2936628
16.04.2018 0:00;2936628
17.04.2018 0:00;2936628
18.04.2018 0:00;2936628
19.04.2018 0:00;2936628
20.04.2018 0:00;2936628
21.04.2018 0:00;2936628
22.04.2018 0:00;2936628
23.04.2018 0:00;2936628
24.04.2018 0:00;2936628
25.04.2018 0:00;2936628
26.04.2018 0:00;2936628
27.04.2018 0:00;2936628
28.04.2018 0:00;2936628
29.04.2018 0:00;2936628
30.04.2018 0:00;2936628
01.05.2018 0:00;2936628
02.05.2018 0:00;2937239
03.05.2018 0:00;2937239
04.05.2018 0:00;2937239
05.05.2018 0:00;2937239
06.05.2018 0:00;2937239
07.05.2018 0:00;2937239
08.05.2018 0:00;2937239
09.05.2018 0:00;2937239
10.05.2018 0:00;2937239
11.05.2018 0:00;2937239
12.05.2018 0:00;2937239
13.05.2018 0:00;2937239
14.05.2018 0:00;2937239
15.05.2018 0:00;2937239
16.05.2018 0:00;2937239
17.05.2018 0:00;2937239
18.05.2018 0:00;2937239
19.05.2018 0:00;2937239
20.05.2018 0:00;2937239
21.05.2018 0:00;2937239
22.05.2018 0:00;2937239
23.05.2018 0:00;2937239
24.05.2018 0:00;2937239
25.05.2018 0:00;2937239
26.05.2018 0:00;2937239
27.05.2018 0:00;2937239
28.05.2018 0:00;2937239
29.05.2018 0:00;2937239
30.05.2018 0:00;2937239
31.05.2018 0:00;2937239
01.06.2018 0:00;2937239
02.06.2018 0:00;2937931
